CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
1904,ABRAHAM SECURITIES CORPORATION,829452,3724 47TH STREET CT,,GIG HARBOR,WA,98335
2303,"PROSPERA FINANCIAL SERVICES, INC.",828164,5429 LYNDON B JOHNSON FWY,STE 750,DALLAS,TX,75240
3475,ALEXANDER INVESTMENT SERVICES CO.,812525,909 LILY CREEK RD,# 101,LOUISVILLE,KY,40243
3995,"M. E. ALLISON & CO., INC.",801402,950 E BASSE RD,# 2,SAN ANTONIO,TX,78209
3999,ALLISON-WILLIAMS COMPANY,803223,2355 HIGHWAY 36 W,STE 400,ROSEVILLE,MN,55113
5006,"AMERICAN FIDELITY SECURITIES, INC.",815123,9000 CAMERON PKWY,,OKLAHOMA CITY,OK,73114
5075,AMERICAN FUNDS & TRUSTS INCORPORATED,806939,3030 S MAIN ST,STE 100,S SALT LAKE,UT,84115
5139,"WORLD CAPITAL BROKERAGE, INC.",806805,1636 N LOGAN ST,STE 1400,DENVER,CO,80203
7470,NATIXIS SECURITIES AMERICAS LLC,800719,1251 AVENUE OF THE AMERICAS FL 5,,NEW YORK,NY,10020
7948,"ASSOCIATED FINANCIAL SERVICES, INC.",809173,PO BOX 2163,,FARGO,ND,58107
9211,ROBERT W. BAIRD & CO. INCORPORATED,800497,PO BOX 672,,MILWAUKEE,WI,53201
9220,"D. L. BAKER & CO., INCORPORATED",816555,19111 DETROIT RD,STE 100,ROCKY RIVER,OH,44116
9319,"BCG SECURITIES, INC.",812680,51 HADDONFIELD RD,STE 210,CHERRY HILL,NJ,8002
11118,"INTERCOASTAL CAPITAL MARKETS, INC.",809698,200 E PALMETTO PARK RD,APT 108,BOCA RATON,FL,33432
12265,BIRKELBACH & CO.,816623,8080 CYPRESS HOLLOW CT,,PONTE VEDRA,FL,32082
12406,JAMES I. BLACK & COMPANY,812077,PO BOX 24838,,LAKELAND,FL,33802
12532,"UMPQUA INVESTMENTS, INC.",802915,15495 SW SEQUOIA PKWY,STE 150,PORTLAND,OR,97224
12600,"PRINCIPAL SECURITIES, INC.",813975,711 HIGH ST,PRINCIPAL FINANCIAL GROUP,DES MOINES,IA,50392
13237,"AVALON INVESTMENT & SECURITIES GROUP, INC.",817078,PO BOX 2544,SUTE 200,MUSCLE SHOALS,AL,35662
13463,C A BOTZUM & CO.,810075,18321 HILLCREST AVE,STE 875,VILLA PARK,CA,92861
13783,BRADLEY WOODS & CO. LTD.,828862,805 3RD AVE FL 18,,NEW YORK,NY,10022
14213,BRIGHTON SECURITIES CORP.,814599,1703 MONROE AVE STE 1,,ROCHESTER,NY,14618
14632,"SMITH, BROWN & GROOVER, INC.",813079,4001 VINEVILLE AVE,,MACON,GA,31210
14745,"BROWN, LISLE/CUMMINGS, INC.",812716,1 TURKS HEAD PL STE 800,,PROVIDENCE,RI,2903
15168,BUELL SECURITIES CORP.,822058,200 GLASTONBURY BLVD,STE 102,GLASTONBURY,CT,6033
15867,JACK V. BUTTERFIELD INVESTMENT COMPANY,812454,PO BOX 4057,,JACKSON,MI,49204
15869,"CV BROKERAGE, INC",812429,1521 E MALAGA RD,STE 211,WILLIAMSTOWN,NJ,8094
17018,CANTOR FITZGERALD & CO.,800201,110 E 59TH ST FL 4,,NEW YORK,NY,10022
17071,CAPE SECURITIES INC.,820747,1600 PENNSYLVANIA AVE,,MCDONOUGH,GA,30253
18026,"CARTY & COMPANY, INC.",819082,PO BOX 17527,,MEMPHIS,TN,38187
19119,K. W. CHAMBERS & CO.,810533,7800 FORSYTH BLVD,FL 5,CLAYTON,MO,63105
20195,"CHURCH, GREGORY, ADAMS SECURITIES CORPORATION",820052,658 CLAIREMONT AVE,,DECATUR,GA,30030
20502,"ASSOCIATED INVESTMENT SERVICES, INC.",800099,PO BOX 640,,GREEN BAY,WI,54305
21031,"CLINGER & CO., INC.",812823,6505 CLAWSON ST,,HOUSTON,TX,77055
21180,"OLD SLIP CAPITAL MANAGEMENT, INC.",813023,40 WALL ST,FL 28,NEW YORK,NY,10005
21879,"COLONIAL SECURITIES, INC.",817631,80 BOWERY,RM 603,NEW YORK,NY,10013
22382,COMMERCE SECURITIES CORPORATION,828228,710 N POST OAK RD,STE 400,HOUSTON,TX,77024
23478,"CONNERS & CO., INC.",808228,5080 WOOSTER RD,UNIT 300,CINCINNATI,OH,45226
24100,"TOUCHSTONE SECURITIES, INC.",814052,303 BROADWAY ST,STE 1100,CINCINNATI,OH,45202
25142,COUGHLIN & COMPANY INC.,805653,140 E 19TH AVE STE 700,,DENVER,CO,80203
25176,COUNTRY CAPITAL MANAGEMENT COMPANY,812645,PO BOX 2222,,BLOOMINGTON,IL,61702
25551,"CREATIVE INVESTOR SERVICES, INC.",812911,2211 ASHLEY OAKS CIR,,WESLEY CHAPEL,FL,33544
26215,CAVU SECURITIES LLC,818428,52 VANDERBILT AVE,RM 403,NEW YORK,NY,10017
27135,DAVENPORT & COMPANY LLC,817103,PO BOX 85678,,RICHMOND,VA,23285
27148,"SHARE FINANCIAL SERVICES, INC.",816207,15770 DALLAS PKWY,STE 275,DALLAS,TX,75248
27182,D.A. DAVIDSON & CO.,802399,PO BOX 5015,,GREAT FALLS,MT,59403
28088,H. C. DENISON CO.,800044,PO BOX 28,,SHEBOYGAN,WI,53082
28471,DEVELOPMENT CORPORATION FOR ISRAEL,804218,641 LEXINGTON AVE,STE 600,NEW YORK,NY,10022
29648,PERSHING LLC,817574,1 PERSHING PLZ,# 10,JERSEY CITY,NJ,7399
29780,"DORN & CO., INC.",808707,216 E WASHINGTON AVE,,FERGUS FALLS,MN,56537
30568,"DUPREE & COMPANY, INC.",810938,PO BOX 1149,,LEXINGTON,KY,40588
31013,AQUILA DISTRIBUTORS LLC,813173,120 W 45TH ST,STE 3600,NEW YORK,NY,10036
33639,ACCRUED EQUITIES INC.,817356,150 BROADHOLLOW RD,PH 02,MELVILLE,NY,11747
33738,CREDIT AGRICOLE SECURITIES (USA) INC.,813753,1301 AVENUE OF THE AMERICAS FL 13,,NEW YORK,NY,10019
34422,"SOVEREIGN LEGACY SECURITIES, INC.",800621,PO BOX 2299,,SOUTHERN PNES,NC,28388
34985,FEDERATED SECURITIES CORP.,815561,1001 LIBERTY AVE,STE 2100,PITTSBURGH,PA,15222
34986,"FEDERATED SECURITIES, INC.",815644,PO BOX 2679,,HUNTINGTN STA,NY,11746
35606,"GIRARD INVESTMENT SERVICES, LLC",814145,41 W BROAD ST,ATTN: ANNETTE KNIBBS,SOUDERTON,PA,18964
36349,"FIRST GEORGETOWN SECURITIES, INC.",818390,1700 DIAGONAL RD,STE 200,ALEXANDRIA,VA,22314
36528,FIRST MIDSTATE INC.,811575,PO BOX 3367,,BLOOMINGTON,IL,61702
36793,"TD AMERITRADE CLEARING, INC.",816335,200 S 108TH AVE,,OMAHA,NE,68154
36882,"CABRERA CAPITAL MARKETS, LLC",826406,10 S LA SALLE ST,STE 1050,CHICAGO,IL,60603
38679,"STUART FRANKEL & CO., INCORPORATED",817419,60 CUTTERMILL RD,STE 210,GREAT NECK,NY,11021
39059,TD PRIME SERVICES LLC,803337,1 VANDERBILT AVE,FL 24,NEW YORK,NY,10017
42431,"GOLF HOST SECURITIES, INC.",818181,36750 US HIGHWAY 19 N,,PALM HARBOR,FL,34684
44305,"CAPITAL HILL GROUP, INC.",826145,43 RAINEY ST,APT 3201,AUSTIN,TX,78701
45726,HARRIS ASSOCIATES SECURITIES L.P.,819988,111 S WACKER DR,STE 4600,CHICAGO,IL,60606
46194,"EMPIRE STATE FINANCIAL, INC.",816309,20 W PARK AVE,STE 207,LONG BEACH,NY,11561
46374,"HAZARD & SIEGEL, INC.",813942,PO BOX 157,SUITE 110,SYRACUSE,NY,13214
46573,"HEFREN-TILLOTSON, INC.",810646,308 7TH AVE,,PITTSBURGH,PA,15222
46902,"CARL M. HENNIG, INC.",814509,206 N MAIN ST,,OSHKOSH,WI,54901
48532,"INSIGHT SECURITIES, INC.",816247,600 CENTRAL AVE,STE 265,HIGHLAND PARK,IL,60035
48966,"COWEN AND COMPANY, LLC",822522,599 LEXINGTON AVE,FL 20,NEW YORK,NY,10022
49096,WINTRUST INVESTMENTS LLC,800484,PO BOX 750,,CHICAGO,IL,60690
49589,"N.I.S. FINANCIAL SERVICES, INC.",815919,PO BOX 219103,,KANSAS CITY,MO,64121
49709,"AMERIPRISE FINANCIAL SERVICES, LLC",816791,5221 AMERIPRISE FINANCIAL CTR,,MINNEAPOLIS,MN,55474
50481,"INGALLS & SNYDER, LLC",801865,1325 AVENUE OF THE AMERICAS,FL 18,NEW YORK,NY,10019
52021,"RAYMOND JAMES FINANCIAL SERVICES, INC.",817983,880 CARILLON PKWY,,ST PETERSBURG,FL,33716
53834,"JOE JOLLY & CO., INC.",818805,PO BOX 8,,BIRMINGHAM,AL,35201
53903,"EDWARD D. JONES & CO., L.P.",800759,12555 MANCHESTER RD,,SAINT LOUIS,MO,63131
54930,"KEEFE, BRUYETTE & WOODS, INC.",810888,787 7TH AVE,FL 4,NEW YORK,NY,10019
55028,"PLANNERS FINANCIAL SERVICES, INC.",818027,1210 NORTHLAND DR,STE 190,MENDOTA HTS,MN,55120
55798,"KIMELMAN & BAIRD, LLC",813028,800 3RD AVE STE 2300,,NEW YORK,NY,10022
55847,"C. L. KING & ASSOCIATES, INC.",817025,9 ELK ST,,ALBANY,NY,12207
57052,"KUYKENDALL & SCHNEIDER, INC.",817609,8009 GENOA AVE,,LUBBOCK,TX,79424
57106,"SOMERSET SECURITIES, INC.",811539,4600 S KELLY AVE,STE 4880,PORTLAND,OR,97239
57210,LADENBURG THALMANN & CO. INC.,817230,640 5TH AVE,FL 4,NEW YORK,NY,10019
58056,DEUTSCHE BANK SECURITIES INC.,817822,1 COLUMBUS CIR,NYC60 3712,NEW YORK,NY,10019
58290,"M. H. LEBLANG, INC.",812730,6900 S 900 E,STE 200,MIDVALE,UT,84047
58798,"DAVID LERNER ASSOCIATES, INC.",820746,477 JERICHO TPKE,P O BOX 9006,SYOSSET,NY,11791
58833,"W&S BROKERAGE SERVICES, INC.",824674,400 BROADWAY ST,STOP 03,CINCINNATI,OH,45202
59546,"LINCOLN INVESTMENT PLANNING, LLC",814354,601 OFFICE CENTER DR,STE 100,FT WASHINGTON,PA,19034
59970,LINCOLN FINANCIAL ADVISORS CORPORATION,814685,PO BOX 2239,,FORT WAYNE,IN,46801
60364,LORD ABBETT DISTRIBUTOR LLC,800216,90 HUDSON ST FL 10,,JERSEY CITY,NJ,7302
62011,"HORACE MANN INVESTORS, INC.",806082,1 HORACE MANN PLZ,,SPRINGFIELD,IL,62715
62061,"V. M. MANNING & CO., INC.",808680,PO BOX 10389,,GREENVILLE,SC,29603
62674,"WORLD FIRST FINANCIAL SERVICES, INC.",820392,13419 ORINO ST,STE 313,VENICE,FL,34293
63520,"MAYHILL AGENCY, LLC",816774,17 PARK MEADOW LN,,W LONG BRANCH,NJ,7764
63598,FELTL & COMPANY,818435,10900 WAYZATA BLVD,STE 200,MINNETONKA,MN,55305
65073,ICAP CORPORATES LLC,812726,200 VESEY ST,# 6,NEW YORK,NY,10285
67037,UBS ASSET MANAGEMENT (US) INC.,821901,1285 AVENUE OF THE AMERICAS,FL 12,NEW YORK,NY,10019
67678,"MONROE FINANCIAL PARTNERS, INC.",814045,100 N RIVERSIDE PLZ,STE 1620,CHICAGO,IL,60606
68136,MORGAN STANLEY & CO. LLC,815869,100 S CHARLES ST,FL 4,BALTIMORE,MD,21201
69596,"ALLIANZ LIFE FINANCIAL SERVICES, LLC",813630,PO BOX 1117,,MINNEAPOLIS,MN,55440
70517,NATIONAL SECURITIES CORPORATION,800164,5000 T REX AVE,STE 300,BOCA RATON,FL,33431
71002,"MARTIN NELSON & CO., INC.",800831,1500 WESTLAKE AVE N,STE 200,SEATTLE,WA,98109
71088,"NESTLERODE & LOY, INC.",812629,PO BOX 343,,STATE COLLEGE,PA,16804
72174,"NORTHWESTERN MUTUAL INVESTMENT SERVICES, LLC",814088,720 E WISCONSIN AVE,,MILWAUKEE,WI,53202
73217,"SANCTUARY SECURITIES, INC.",822752,250 W 96TH ST,STE 300,INDIANAPOLIS,IN,46260
73387,"NUVEEN SECURITIES, LLC",813464,333 W WACKER DR STE 3200,,CHICAGO,IL,60606
73520,"VOYA FINANCIAL ADVISORS, INC.",813987,1 ORANGE WAY,STE 1000,WINDSOR,CT,6095
73956,"FIFTH THIRD SECURITIES, INC.",802428,38 FOUNTAIN SQUARE PLZ,MD 10903P,CINCINNATI,OH,45202
73979,THE O.N. EQUITY SALES COMPANY,814161,PO BOX 371,,CINCINNATI,OH,45201
74654,CIBC WORLD MARKETS CORP.,818333,425 LEXINGTON AVE,FL 3,NEW YORK,NY,10017
75120,"O'TOOLE, HENRY J.",815522,1430 COLLEGE POINT BLVD,,COLLEGE POINT,NY,11356
75473,"PACIFIC SELECT DISTRIBUTORS, LLC",815264,700 NEWPORT CENTER DR,,NEWPORT BEACH,CA,92660
76375,BILL PARKER AGENCY,820744,4528 MILLRACE RD,,SACRAMENTO,CA,95864
76886,NATIONWIDE INVESTMENT SERVICES CORPORATION,820254,1 NATIONWIDE PLZ,1 33 401,COLUMBUS,OH,43215
76964,"AMERICAN TRUST INVESTMENT SERVICES, INC.",814394,1244 119TH ST,,WHITING,IN,46394
77131,"HORNOR, TOWNSEND & KENT, LLC",814715,600 DRESHER RD,STE C1C,HORSHAM,PA,19044
78017,PFLUEGER & BAERWALD INC.,817615,220 SANSOME ST,STE 1090,SAN FRANCISCO,CA,94104
78027,"FBL MARKETING SERVICES, LLC",815855,5400 UNIVERSITY AVE,,WDM,IA,50266
79145,"AMERICAN CENTURY INVESTMENT SERVICES, INC.",835220,PO BOX 410141,,KANSAS CITY,MO,64141
80386,LPL FINANCIAL LLC,817668,1055 LPL WAY,,FORT MILL,SC,29715
80887,"PRUCO SECURITIES, LLC.",816402,751 BROAD ST,,NEWARK,NJ,7102
81546,"QUINCY CASS ASSOCIATES, INCORPORATED",805743,11111 SANTA MONICA BLVD,STE 1650,LOS ANGELES,CA,90025
81567,A.G. QUINTAL INVESTMENT COMPANY INC.,811684,2177 ACUSHNET AVE,,NEW BEDFORD,MA,2745
82282,AON SECURITIES LLC,814953,200 E RANDOLPH ST,FL 11,CHICAGO,IL,60601
83809,"VANDERBILT SECURITIES, LLC",816712,125 FROEHLICH FARM BLVD,,WOODBURY,NY,11797
84461,"ROBINSON & ROBINSON, INC.",817109,1337 HAMILTON ST,,ALLENTOWN,PA,18102
84940,"HORANG SECURITIES, LLC",816608,400 MADISON AVE,RM 11A,NEW YORK,NY,10017
85338,ROTHSCHILD INVESTMENT CORPORATION,816429,311 S WACKER DR,STE 6500,CHICAGO,IL,60606
85816,"RUSSELL INVESTMENTS IMPLEMENTATION SERVICES, LLC",800220,1301 2ND AVE FL 18,,SEATTLE,WA,98101
86110,"SYMETRA SECURITIES, INC.",813470,777 108TH AVE NE STE 1200,,BELLEVUE,WA,98004
86172,"SAGE, RUTTY & CO., INC.",800533,100 CORPORATE WOODS,STE 300,ROCHESTER,NY,14623
88436,"SECURITIES MANAGEMENT AND RESEARCH, INC.",812745,PO BOX 11606,,CEDAR RAPIDS,IA,52410
89009,"SENTRY EQUITY SERVICES, INC.",815078,1800 N POINT DR,,STEVENS POINT,WI,54481
90087,"MURIEL SIEBERT & CO., INC.",814900,120 WALL ST,FL 25,NEW YORK,NY,10005
90108,"RICHARDS, MERRILL & PETERSON, INC.",800071,422 W RIVERSIDE AVE,STE 1,SPOKANE,WA,99201
90608,"HERBERT J. SIMS & CO, INC.",803315,2150 POST RD,FL 301,FAIRFIELD,CT,6824
91154,CITIGROUP GLOBAL MARKETS INC.,808177,540 CROSSPOINT PKWY,REGISTRATION DEPARTMENT,GETZVILLE,NY,14068
91961,SOUTH TEXAS SECURITIES CO.,818148,PO BOX 79626,,HOUSTON,TX,77279
94645,"STONEGATE CAPITAL MARKETS, INC.",817359,8201 PRESTON RD,STE 325,DALLAS,TX,75225
94869,J. STREICHER & CO. L.L.C.,804342,28 LIBERTY ST,FL 6,NEW YORK,NY,10005
95453,"SUNSET FINANCIAL SERVICES, INC.",814148,PO BOX 219365,,KANSAS CITY,MO,64121
96600,"FUNDS DISTRIBUTOR, LLC",820518,3 CANAL PLZ,STE 100,PORTLAND,ME,4101
99547,U. S. BOSTON CAPITAL CORPORATION,815885,55 OLD BEDFORD RD,STE 202,LINCOLN,MA,1773
100565,LINCOLN FINANCIAL SECURITIES CORPORATION,814609,PO BOX 2239,,FORT WAYNE,IN,46801
101510,"FIRST COMMAND BROKERAGE SERVICES, INC.",807072,PO BOX 2387,,FORT WORTH,TX,76113
102780,VAN CLEMENS & CO. INCORPORATED,818414,900 2ND AVE S,STE 1500,MINNEAPOLIS,MN,55402
102786,"INVESCO CAPITAL MARKETS, INC.",819412,11 GREENWAY PLZ,STE 1000,HOUSTON,TX,77046
103623,OPPENHEIMER & CO. INC.,804077,85 BROAD ST,FL 22,NEW YORK,NY,10004
104021,"WACHTEL & CO., INC.",811345,1701 K ST NW STE 615,,WASHINGTON,DC,20006
105264,WEDBUSH SECURITIES INC.,812987,PO BOX 30014,8TH FL,LOS ANGELES,CA,90030
107136,"WILEY BROS.-AINTREE CAPITAL, LLC",803774,40 BURTON HILLS BLVD,STE 350,NASHVILLE,TN,37215
107476,"WILSON-DAVIS & CO., INC.",814299,PO BOX 11587,,SALT LAKE CTY,UT,84147
108144,"WOOD (ARTHUR W.) COMPANY, INC.",803368,50 CONGRESS ST,STE 700,BOSTON,MA,2109
108404,"OMEGA SECURITIES, INC.",820225,300 THROCKMORTON ST,STE 1450,FORT WORTH,TX,76102
108634,"WULFF, HANSEN & CO.",800292,100 SMITH RANCH RD STE 330,,SAN RAFAEL,CA,94903
109309,B. C. ZIEGLER AND COMPANY,800094,1 N WACKER DR STE 2000,,CHICAGO,IL,60606
110084,"L. S. Y., INC.",817613,PO BOX 1307,,SAN RAMON,CA,94583
200022,"AMERICAN FUNDS DISTRIBUTORS, INC.",817168,333 S HOPE ST FL 55,,LOS ANGELES,CA,90071
200194,HAROLD W. DANCE INC.,812160,360 N MAIN ST,,LOGAN,UT,84321
200357,"NATIONWIDE SECURITIES, LLC",812500,1 NATIONWIDE PLZ,MAIL CODE: 01 33 401,COLUMBUS,OH,43215
200597,E. E. POWELL & COMPANY INC.,808193,200 NORTHPOINTE CIR,STE 304,SEVEN FIELDS,PA,16046
200648,ROMANO BROTHERS AND COMPANY,814213,1560 SHERMAN AVE,STE 1300,EVANSTON,IL,60201
200684,"SECURITY DISTRIBUTORS, LLC",810781,1 SW SECURITY BENEFIT PL,,TOPEKA,KS,66636
200724,"SMITH, MOORE & CO.",827480,7777 BONHOMME AVE STE 2400,,CLAYTON,MO,63105
200854,ZIV INVESTMENT COMPANY,818119,141 W JACKSON BLVD,STE 2095,CHICAGO,IL,60604
201391,CASEY SECURITIES LLC,821205,100 DRAKES LANDING RD,STE 210,GREENBRAE,CA,94904
201867,L. B. FISHER & COMPANY,821023,17300 DALLAS PKWY,STE 3050,DALLAS,TX,75248
201906,"THE FRAZER LANIER COMPANY, INCORPORATED",820267,PO BOX 5190,,MONTGOMERY,AL,36103
205021,"INVESCO DISTRIBUTORS, INC.",821323,11 GREENWAY PLZ,STE 1000,HOUSTON,TX,77046
205307,CANACCORD GENUITY WEALTH MANAGEMENT (USA) INC.,821025,250 H ST PMB 2300,250 H STREET,BLAINE,WA,98230
205485,"ISAAK BOND INVESTMENTS, INC.",821410,3900 S WADSWORTH BLVD STE 590,,LAKEWOOD,CO,80235
205653,"MONNESS CRESPI HARDT & CO., INC.",821380,767 3RD AVE FL 16,,NEW YORK,NY,10017
215360,"CAPITAL INSTITUTIONAL SERVICES, INC.",822273,1700 PACIFIC AVE,STE 1100,DALLAS,TX,75201
215448,"CLARENDON INSURANCE AGENCY, INC.",821590,1601 TRAPELO RD,STE 30,WALTHAM,MA,2451
215660,"PACTOLUS SECURITIES, LLC",821979,8614 WESTWOOD CENTER DR,STE 620,VIENNA,VA,22182
215674,COLLIERS SECURITIES LLC,821937,90 S 7TH ST,STE 4300,MINNEAPOLIS,MN,55402
216095,"REGAL SECURITIES, INC.",821765,950 MILWAUKEE AVE,STE 102,GLENVIEW,IL,60025
216351,HUNTLEIGH SECURITIES CORPORATION,821893,7800 FORSYTH BLVD,FL 5,SAINT LOUIS,MO,63105
216696,NTB FINANCIAL CORPORATION,821884,9540 MAROON CIR,UNIT 250,CENTENNIAL,CO,80112
217448,VANGUARD MARKETING CORPORATION,821570,5951 LUCKETT CT,STE A-1,EL PASO,TX,79932
217550,"AMERICAN GLOBAL WEALTH MANAGEMENT, INC.",821584,1600 PENNSYLVANIA AVE,,MCDONOUGH,GA,30253
225015,"ALLEGHENY INVESTMENTS, LTD.",822183,811 CAMP HORNE RD,STE 100,PITTSBURGH,PA,15237
225345,FIRST KENTUCKY SECURITIES CORPORATION,822224,4360 BROWNSBORO RD,STE 300,LOUISVILLE,KY,40207
225412,OSCAR GRUSS & SON INCORPORATED,822371,10 E 53RD ST,FL 17,NEW YORK,NY,10022
226001,"R.M. STARK & CO., INC.",822543,730 S FEDERAL HWY,N/A,LK WORTH BCH,FL,33460
230611,UBS SECURITIES LLC,822651,600 WASHINGTON BLVD,# 10,STAMFORD,CT,6901
275484,"INDEPENDENT FINANCIAL GROUP, LLC",822870,12671 HIGH BLUFF DR,STE 200,SAN DIEGO,CA,92130
276401,E. MAGNUS OPPENHEIM & CO. INC.,823411,575 LEXINGTON AVE,FL 17,NEW YORK,NY,10022
276617,"MOORS & CABOT, INC.",823060,1 FEDERAL ST,FL 19,BOSTON,MA,2110
276721,"KEEL POINT CAPITAL, LLC",822990,100 CHURCH ST SW,STE 500,HUNTSVILLE,AL,35801
276931,KAHN BROTHERS LLC,823135,555 MADISON AVE,STE 1303,NEW YORK,NY,10022
277453,"LBMZ SECURITIES, INC.",823266,10 S RIVERSIDE PLZ,STE 1600,CHICAGO,IL,60606
277570,"ALLIANT SECURITIES, INC. TURNER, NORD, KIENBAUM",823305,695 N LEGACY RIDGE DR STE 300,,LIBERTY LAKE,WA,99019
277770,"PTX SECURITIES, LLC",823378,6221 CHAPEL HILL BLVD STE 200,,PLANO,TX,75093
277841,"TD AMERITRADE, INC.",823395,200 S 108TH AVE,,OMAHA,NE,68154
278082,FIDELITY BROKERAGE SERVICES LLC,823292,2 DESTINY WAY,MAIL ZONE: WG3D,WESTLAKE,TX,76262
278306,"BENJAMIN SECURITIES, INC.",823518,750 VETERANS MEMORIAL HWY STE 210,,HAUPPAUGE,NY,11788
278307,"THE BAKER GROUP, LP",823684,1601 NW EXPRESSWAY,STE 2000,OKLAHOMA CITY,OK,73118
310607,"INSTINET, LLC",823669,309 W 49TH ST,"WORLDWIDE PLAZA,",NEW YORK,NY,10019
310695,"NORTHERN TRUST SECURITIES, INC.",823689,50 S LA SALLE ST,,CHICAGO,IL,60603
310710,"SECURITIES RESEARCH, INC.",823699,3055 CARDINAL DR,STE 104,VERO BEACH,FL,32963
311147,"ATLANTIC SECURITIES, INC.",810963,920 PROVIDENCE RD,STE 201,TOWSON,MD,21286
311800,"FIRST HONOLULU SECURITIES, INC.",823919,3615 HARDING AVE,STE 207,HONOLULU,HI,96816
311887,"THE GMS GROUP, LLC",823936,120 EAGLE ROCK AVE,STE 300,EAST HANOVER,NJ,7936
312272,"COMMONWEALTH EQUITY SERVICES, LLC",824040,29 SAWYER RD,STE 2,WALTHAM,MA,2453
312362,"SELKIRK INVESTMENTS, INC.",824054,421 W RIVERSIDE AVE,STE 1020,SPOKANE,WA,99201
312603,"CREWS & ASSOCIATES, INC.",824075,PO BOX 1696,,LITTLE ROCK,AR,72203
312970,WESTMORELAND CAPITAL CORPORATION,824116,1521 N COOPER ST,STE 400,ARLINGTON,TX,76011
313167,"JUDGE & ASSOCIATES, INC.",824152,495 BELL DR,,DES PLAINES,IL,60016
313269,"J K R & COMPANY, INC.",824191,7145 WOODLEY AVE,,VAN NUYS,CA,91406
313374,"POPULAR SECURITIES, LLC",824216,208 AVE PONCE DE LEON,STE 1200,SAN JUAN,PR,918
313485,ROSENBLATT SECURITIES INC.,824255,40 WALL ST,FL 59,NEW YORK,NY,10005
313800,"FRED ALGER & COMPANY, INCORPORATED",815900,100 PEARL ST,FL 27,NEW YORK,NY,10004
314774,"KOONCE SECURITIES, LLC",824511,6229 EXECUTIVE BLVD,,ROCKVILLE,MD,20852
314828,"AUSDAL FINANCIAL PARTNERS, INC.",824519,5187 UTICA RIDGE RD,STE 400,DAVENPORT,IA,52807
315242,"GARY HOCH AGENCY, INC.",824582,2645 ELMWOOD AVE,,BUFFALO,NY,14217
316097,"GRAMERCY SECURITIES, INC.",824767,PO BOX 1059,,CHARLESTOWN,RI,2813
316227,"CERTIGROUP, INC.",824784,8302 GULF OF MEXICO BLVD,,MARATHON,FL,33050
316237,KW SECURITIES CORPORATION,824792,100 LARKSPUR LANDING CIR,STE 200,LARKSPUR,CA,94939
316561,"TRANSAMERICA CAPITAL, INC.",824829,1801 CALIFORNIA ST,STE 5200,DENVER,CO,80202
316595,SOUTHAMPTON INVESTMENT SERVICES INC.,824841,395 HUDSON ST,RM 701,NEW YORK,NY,10014
317309,"ALTEGRIS INVESTMENTS, LLC",824931,1200 PROSPECT ST,STE 400,LA JOLLA,CA,92037
317847,SPENCER-WINSTON SECURITIES CORPORATION,824995,45 W 47TH ST RM 402,,NEW YORK,NY,10036
317974,"GLOBAL ATLANTIC DISTRIBUTORS, LLC",825027,1 FINANCIAL PLZ,FL 24,HARTFORD,CT,6103
318181,PLANMEMBER SECURITIES CORPORATION,825065,6187 CARPINTERIA AVE,,CARPINTERIA,CA,93013
318492,A.G.P. / ALLIANCE GLOBAL PARTNERS CORP.,825132,88 POST RD W,STE 2,WESTPORT,CT,6880
318790,"CAPITAL FINANCIAL SERVICES, INC.",825203,1821 BURDICK EXPY W,,MINOT,ND,58701
319185,"THE WINDMILL GROUP, INC.",825280,PO BOX 295,,SOMERS,NY,10589
319401,"AMUNI FINANCIAL, INC.",825338,PO BOX 11749,,ST PETERSBURG,FL,33733
320250,MUTUAL TRUST COMPANY OF AMERICA SECURITIES,825547,546 16TH AVE NE,STE 100,ST PETERSBURG,FL,33704
320370,BAYTIDE SECURITIES CORPORATION,825570,PO BOX 580220,SUITE 500,TULSA,OK,74158
350713,"SWARTWOOD, HESSE INC.",825778,PO BOX 4557,2ND FLOOR,NEW YORK,NY,10163
351317,WALL STREET ACCESS,825936,100 WALL ST STE 804,,NEW YORK,NY,10005
351861,SECUREVEST FINANCIAL GROUP,826030,163 MADISON AVE,STE 100,MORRISTOWN,NJ,7960
351952,HARVEST FINANCIAL CORPORATION,826037,223 4TH AVE,STE 1600,PITTSBURGH,PA,15222
352290,"MERIDIEN FINANCIAL GROUP, INC.",826090,10 DORRANCE ST,STE 524,PROVIDENCE,RI,2903
352468,"R. F. LAFFERTY & CO., INC.",825581,40 WALL ST,FL 29,NEW YORK,NY,10005
354092,LESKO SECURITIES INC,826408,PO BOX 1890,,BINGHAMTON,NY,13902
354342,"NELSON IVEST BROKERAGE SERVICES, INC.",826448,423 COUNTRY CLUB DR,,WINTER PARK,FL,32789
354497,PFS INVESTMENTS INC.,826486,1 PRIMERICA PKWY,,DULUTH,GA,30099
354642,"INTERNATIONAL ASSETS ADVISORY, LLC",827736,390 N ORANGE AVE,STE 750,ORLANDO,FL,32801
355203,CAPITAL BROKERAGE CORPORATION,826614,6620 W BROAD ST,BLDG 2,RICHMOND,VA,23230
355211,"SECURITIES AMERICA, INC.",826602,PO BOX 460001,,PAPILLION,NE,68046
